SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,SP_COMPANY_NAME_CLEAN,reprisk_id,company_name,sectors,company_name_clean
Garland Capital Management Inc,4116322,Garland Capital Management Inc,Operating,Private Company,Never Sponsor-Backed,garland capital management,1253259,Garland Capital Management INC,Financial Services,garland capital management
"Gartner, Inc. (NYSE:IT)",4094069,"Gartner, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Fidelity Management & Research Company LLC;Farvatn Venture AS]

Prior Sponsor-Backed [ValueAct Capital Management, L.P.;Bain Capital Private Equity, LP;Walden International;Bessemer Venture Partners;Integral Capital Partners;Bain Capital Ventures,LP;Warburg Pincus LLC;Silver Lake Technology Management, L.L.C.;Walden Venture Capital]",gartner,7328,Gartner Inc,Support Services (Industrial Goods and Services),gartner
"GateGuru, Inc.",4394803,"GateGuru, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Inflection Ventures;Social Starts, L.P.;Scout Ventures]",gateguru,1468814,Gateguru Inc.,Software and Computer Services,gateguru
"GateHouse Media, LLC",4142903,"GateHouse Media, LLC",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Fortress Investment Group LLC (NYSE:FIG) (NYSE:FIG)],gatehouse media,14632,GateHouse Media LLC,Media,gatehouse media
"Gates Capital Management, Inc.",4134633,"Gates Capital Management, Inc.",Operating,Private Company,Never Sponsor-Backed,gates capital management,2657242,Gates Capital Management Inc,Financial Services,gates capital management
"Gateway Bank, F.S.B. (OTCPK:GWBK)",1003685,"Gateway Bank, F.S.B.",Operating,Public Company,Never Sponsor-Backed,gateway bank fsb,2385608,Gateway Bank FSB,Banks,gateway bank fsb
"Gateway Financial Holdings, Inc. (NASDAQGM:GBTS)",4072235,"Gateway Financial Holdings, Inc.",Acquired,Public Company,Prior Sponsor-Backed [Wellington Management Group LLP (NASDAQGM : );Dimensional Fund Advisors LP],gateway financial holdings,91265,Gateway Financial Holdings Inc,Banks | Financial Services,gateway financial holdings
"Gaucho Group Holdings, Inc. (OTCPK:VINO.Q)",4207685,"Gaucho Group Holdings, Inc.",Reorganizing,Public Company,Prior Sponsor-Backed [Kinled Holding Limited],gaucho group holdings,2352433,Gaucho Group Holdings Inc,Financial Services,gaucho group holdings
Gay & Robinson Inc,4060181,Gay & Robinson Inc,Operating,Private Company,Never Sponsor-Backed,gay robinson,72641,Gay & Robinson Inc,Food and Beverage,gay robinson
"GazeHawk, Inc.",4329914,"GazeHawk, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Y Combinator Management, LLC]

Prior Sponsor-Backed [500 Global;Quest Venture Partners LLC]",gazehawk,1641832,"GazeHawk, Inc.",Software and Computer Services,gazehawk
GBank Financial Holdings Inc. (OTCQX:GBFH),9375217,GBank Financial Holdings Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Roaring Blue Lion Capital Management, L.P.]",gbank financial holdings,2373443,Gbank Financial Holdings Inc,Banks,gbank financial holdings
"GCA Services Group, Inc.",4334860,"GCA Services Group, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [NewSpring Capital, LLC;Beringea, LLC;HLM Venture Partners;TDH;Thomas H. Lee Partners, L.P.;Goldman Sachs Asset Management, L.P.;Nautic Partners, LLC;Blackstone Inc. (NYSE:BX) (NYSE : BX);MVP Capital Partners;Liberty Venture Partners, Inc.;PFLT Funding II, LLC (NASDAQGM:MCGC) (NASDAQGM : MCGC);NewSpring Franchise]",gca services group,188734,GCA Services Group Inc,Support Services (Industrial Goods and Services),gca services group
"Geeknet, Inc. (NASDAQGM:GKNT)",4142141,"Geeknet, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [The Capital Group Companies, Inc.;Sequoia Capital Operations LLC;DragonVenture, Inc.;Intel Capital Corporation;TSG Equity Partners LLC;Presidio STX, LLC;WS Investments;Riverview Group;Impala Asset Management, LLC;Chiratae Ventures India Advisors Private Limited;Stanford Management Company;Tenaya Capital Inc.;VLG Investments;Ridge Ventures]",geeknet,45555,Geeknet Inc,Retail,geeknet
"GEI Financial Services, Inc.",4029045,"GEI Financial Services, Inc.",Out of Business,Private Company,Never Sponsor-Backed,gei financial services,96149,GEI Financial Services,Financial Services,gei financial services
"Gen Cap America, Inc.",4034118,"Gen Cap America, Inc.",Operating,Private Company,Never Sponsor-Backed,gen cap america,1750804,Gen Cap America Inc,Financial Services,gen cap america
"General American Investors Company, Inc. (NYSE:GAM)",109838,"General American Investors Company, Inc.",Operating,Public Company,Never Sponsor-Backed,general american investors,344270,General American Investors Co Inc,Financial Services,general american investors
"General Mills, Inc. (NYSE:GIS)",4096376,"General Mills, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Green Century Capital Management, Inc.]

Prior Sponsor-Backed [The Litchfield Fund;PRIVATE EQUITY, Rosinger Anlagentechnik GmbH & Co KG]",general mills,395,General Mills Inc,Food and Beverage | Retail,general mills
"Generation Zero Group, Inc. (OTCPK:GNZR)",4262447,"Generation Zero Group, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [CrossHill Financial Group, Inc.]",generation zero group,94933,Generation Zero Group Inc,Software and Computer Services,generation zero group
"Genesis Networks, Inc.",4274568,"Genesis Networks, Inc.",Acquired,Private Company,Prior Sponsor-Backed [Longworth Venture Partners;Masthead Venture Partners],genesis networks,1052323,Genesis Networks INC,Telecommunications,genesis networks
Geneva Steel Holdings Corp. (OTCPK:GNVH.Q),4060198,Geneva Steel Holdings Corp.,Out of Business,Public Company,Prior Sponsor-Backed [Penn Mezzanine Partners],geneva steel holdings,50566,Geneva Steel Holdings Corp,Industrial Engineering,geneva steel holdings
"Geneve Holdings, Inc.",4005426,"Geneve Holdings, Inc.",Operating,Private Company,Never Sponsor-Backed,geneve holdings,361711,Geneve Holdings Inc,Insurance,geneve holdings
"Genex Services, LLC",4543216,"Genex Services, LLC",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Stone Point Capital LLC;Seven2 SAS;Apax Partners LLP;Altamir SCA (ENXTPA:LTA) (ENXTPA : LTA);Altaroc Partners SA],genex services,159745,Genex Services LLC,Health Care Equipment and Services,genex services
Genie Energy Ltd. (NYSE:GNE),4771139,Genie Energy Ltd.,Operating,Public Company,Never Sponsor-Backed,genie energy,105677,Genie Energy Ltd,Oil and Gas,genie energy
"GenOn Holdings, Inc. (NYSE:GEN)",4057383,"GenOn Holdings, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Strategic Value Partners, LLC]

Prior Sponsor-Backed [Pirate Capital LLC;Paulson & Co. Inc.;T. Rowe Price Associates, Inc.]",genon holdings,2585520,Genon Holdings LLC,Financial Services,genon holdings
Genpass Inc.,4098229,Genpass Inc.,Acquired,Private Company,Prior Sponsor-Backed [GTCR LLC],genpass,1031508,Genpass Inc,Support Services (Industrial Goods and Services) | Financial Services,genpass
"Genscape, Inc.",4098030,"Genscape, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Vectren Enterprises, Inc.;Oaktree Capital Management, L.P.;Prosperitas Investment Partners, L.P.;Chrysalis Ventures;GFI Energy Ventures LLC;DMG Information;Anchorage Angels]",genscape,169689,Genscape Inc,Software and Computer Services,genscape
"GeoBio Energy, Inc. (OTCPK:GBOE)",4066522,"GeoBio Energy, Inc.",Operating,Private Company,Never Sponsor-Backed,geobio energy,50359,GeoBio Energy Inc,Chemicals,geobio energy
"GeoEye, LLC (NASDAQGM:GEOY)",4150279,"GeoEye, LLC",Acquired,Private Company,"Prior Sponsor-Backed [Redwood Capital Management, LLC;Newton Investment Management Ltd;Crest Communications Holdings L.L.C.;Security Investors, LLC;Farallon Capital Management, L.L.C.;Deephaven Capital Management LLC;Whitebox Advisors LLC;Sagamore Hill Capital Management L.P.;Cerberus Capital Management, L.P.;Harbinger Capital Partners LLC]",geoeye,34706,GeoEye Inc,Support Services (Industrial Goods and Services),geoeye
Geokinetics Inc. (OTCPK:GOK),4209724,Geokinetics Inc.,Liquidating,Private Company,"Pending or Current Sponsor-Backed [Peregrine Management, LLC;Maple Leaf Partners LLC]

Prior Sponsor-Backed [Straus Capital Management LLC;Wellington Management Group LLP (NASDAQGM : );AEC Partners;Nite Capital Management, LLC;Avista Healthcare Partners;J.P. Morgan Partners, LLC;Enable Global Capital, LLC;Apriori Capital Partners L.P.;BlackRock Advisors, LLC;Wexford Capital LP;Ironman Capital Management, LLC;MHR Fund Management LLC;Whittier Trust Company;Somerset Capital Partners]",geokinetics,18452,Geokinetics Inc,Oil and Gas,geokinetics
GeoPetro Resources Company (OTCPK:GPR),4144102,GeoPetro Resources Company,Operating,Private Company,"Pending or Current Sponsor-Backed [BlackRock Capital Management, Inc.]

Prior Sponsor-Backed [Opus Select Strategies, LLC;Brick Asset Management Inc.;Carlyle-Blue Wave Partners]",geopetro resources,43862,GeoPetro Resources Co,Oil and Gas,geopetro resources
"George Weiss Associates, Inc.",4048809,"George Weiss Associates, Inc.",Operating,Private Company,Never Sponsor-Backed,george weiss associates,136249,George Weiss Associates Inc,Financial Services,george weiss associates
"Georgetown Bancorp, Inc. (NASDAQGM:GTWN)",4095276,"Georgetown Bancorp, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [BHZ Capital Management, LP;FJ Capital Management, LLC;Stilwell Value LLC;Maltese Capital Management, LLC]",georgetown bancorp,47235,Georgetown Bancorp Inc,Banks,georgetown bancorp
"Georgia Bancshares, Inc. (OTCEM:GABA)",4072053,"Georgia Bancshares, Inc.",Operating,Public Company,Never Sponsor-Backed,georgia bancshares,52407,Georgia Bancshares Inc,Banks,georgia bancshares
"Geos Communications, Inc. (OTCPK:GCMI)",4122210,"Geos Communications, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Gryphon Management Partners, L.P.;N.I.R. Group, LLC;Professional Traders Management, LLC;Heidtke & Company, Inc.;Premier Fund Managers Ltd.;Premier Asset Management (Guernsey) Ltd.;Vestal Venture Capital]

Prior Sponsor-Backed [Yorkville Advisors Global LP;RENN Capital Group, Inc.;Crestview Capital Funds]",geos communications,50094,Geos Communications Inc,Telecommunications,geos communications
GeoVera Insurance Company,4045145,GeoVera Insurance Company,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Flexpoint Ford, LLC;NCP Management Holdings, Inc.]",geovera insurance,229606,GeoVera Insurance Co,Insurance,geovera insurance
Geovic Mining Corp. (OTCPK:GVCM),4350425,Geovic Mining Corp.,Operating,Private Company,Prior Sponsor-Backed [Global Vision Capital Corp.],geovic mining,14465,Geovic Mining Corp,Mining,geovic mining
"German American Bancorp, Inc. (NASDAQGS:GABC)",100551,"German American Bancorp, Inc.",Operating,Public Company,Prior Sponsor-Backed [Castle Creek Advisors VIII LLC],german american bancorp,37280,German American Bancorp Inc,Banks,german american bancorp
Geronimo Holdings Inc.,4087458,Geronimo Holdings Inc.,Operating,Private Company,Never Sponsor-Backed,geronimo holdings,2031942,Geronimo Holdings LLC,Financial Services,geronimo holdings
Get Moving Inc,115726688,Get Moving Inc,Operating,Private Company,Never Sponsor-Backed,get moving,2639440,Get Moving Inc,Travel and Leisure,get moving
"GetConnected, Inc.",4160471,"GetConnected, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Carlin Ventures, L.L.C.;Campsix;Alta Equity Partners;Asset Management Ventures;Atlas Venture L.P.;Wasabi Fund, L.P;Merrill Lynch Ventures, LLC]",getconnected,1467784,Getconnected INC,Software and Computer Services,getconnected
Getty Petroleum Marketing Inc. (NYSE:GPM),4010630,Getty Petroleum Marketing Inc.,Out of Business,Private Company,Never Sponsor-Backed,getty petroleum marketing,21452,Getty Petroleum Marketing Inc,Oil and Gas | Retail,getty petroleum marketing
Getty Realty Corp. (NYSE:GTY),4066492,Getty Realty Corp.,Operating,Public Company,Never Sponsor-Backed,getty realty,14637,Getty Realty Corp,Financial Services,getty realty
"Gevity HR, Inc. (NASDAQGM:GVHR)",4098997,"Gevity HR, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [ValueAct Capital Management, L.P.;C&B Capital, L.P.;Partech Partners SAS;BIB Private Equity;SunTrust Equity Funding, LLC;General Atlantic Service Company, L.P.;Craig Capital Corporation;Adams Street Partners, LLC;Dominus Capital Management, L.P.;Wolfjaw Capital, Inc.;Frontenac Company LLC;Paribas Principal Partners]",gevity hr,14083,Gevity HR Inc,Support Services (Industrial Goods and Services),gevity hr
GFI Group Inc. (OTCPK:GFIG),4093361,GFI Group Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Advent International, L.P.;CMS Small-Cap Private Equity Fund;J.P. Morgan Partners, LLC;3i Group plc (LSE:III) (LSE : III);Access Technology Partners;Venturion Capital;SSGA Funds Management, Inc.;BBH Capital Partners;Gamma Investors;H&Q Access Technology Partners]",gfi group,10877,GFI Group Inc,Financial Services,gfi group
"GGCP, Inc.",4087048,"GGCP, Inc.",Operating,Private Company,Never Sponsor-Backed,ggcp,187863,GGCP Inc,Financial Services,ggcp
Gibraltar Private Bank & Trust Co.,1002966,Gibraltar Private Bank & Trust Co.,Acquired,Private Company,Prior Sponsor-Backed [KBW Capital Partners],gibraltar private bank trust,74360,Gibraltar Private Bank & Trust Co,Banks | Financial Services,gibraltar private bank trust
"GiftCertificates.com, Inc.",4277953,"GiftCertificates.com, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Netstar Ventures, LLC;Dan Rosen and Associates;Washington & Congress Managers, LLC;MHS Capital Management, LLC;Frontline Capital Group (OTCPK:FLCG.Q) (OTCPK : FLCG.Q);Triumph Capital Group, Inc.;Cascadia Capital Partners;Hilal Capital Associates;OVP Venture Partners;Navigation Capital Partners, Inc.;The Trump Group;Liberty Ridge Capital, Inc.;Baron Capital Management, Inc.;Gotham Partners Management Co., LLC;SCP Partners;CIP Capital Inc.;Mellon Ventures, Inc.;Glencarron Investment Co.;Marlin Equity Partners, LLC]",giftcertificatescom,425354,Giftcertificates.Com Corp,Banks | Personal and Household Goods | Retail,giftcertificatescom
"Gilman Ciocia, Inc. (OTCPK:GTAX)",4043804,"Gilman Ciocia, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Wynnefield Capital, Inc.;Steel Partners LLC (OTCPK:SLPL) (OTCPK : SLPL)]",gilman ciocia,50251,Gilman Ciocia Inc,Financial Services,gilman ciocia
"Giraffe Invest, Inc.",100583907,"Giraffe Invest, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Group 11],giraffe invest,2525750,Giraffe Invest Inc,Software and Computer Services | Financial Services,giraffe invest
"GiveCampus, Inc.",5303329,"GiveCampus, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Silversmith Management, L.P.;YC/Imagine K12;A-Level Capital;Y Combinator Management, LLC]

Prior Sponsor-Backed [ACE & Company SA]",givecampus,966248,GiveCampus Inc,Software and Computer Services,givecampus
"Gizmoz, Inc.",4247751,"Gizmoz, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [J.P. Morgan Partners, LLC;Gilde Investment Management;Columbia Capital, L.P.;Star Ventures Management;Giza Venture Capital;Sculley Brothers, L.L.C.;NGI Capital Inc;Pitango Venture Capital;WarnerMedia Investments;Benchmark;DoCoMo Capital, Inc.]",gizmoz,205273,Gizmoz Inc,Software and Computer Services,gizmoz
"Glacier Bancorp, Inc. (NYSE:GBCI)",1023792,"Glacier Bancorp, Inc.",Operating,Public Company,Never Sponsor-Backed,glacier bancorp,9942,Glacier Bancorp Inc,Banks,glacier bancorp
Glen Burnie Bancorp (NASDAQCM:GLBZ),1023785,Glen Burnie Bancorp,Operating,Public Company,Never Sponsor-Backed,glen burnie bancorp,44239,Glen Burnie Bancorp,Financial Services,glen burnie bancorp
"Glendon Group, Inc.",4325728,"Glendon Group, Inc.",Operating,Private Company,Never Sponsor-Backed,glendon group,368779,Glendon Group Inc,Unspecified,glendon group
"Glenville Bank Holding Company, Inc. (OTCPK:GLNV)",4149392,"Glenville Bank Holding Company, Inc.",Operating,Private Company,Never Sponsor-Backed,glenville bank holding,2362053,Glenville Bank Holding Co Inc,Banks | Financial Services,glenville bank holding
"GLG Partners, Inc. (NYSE:GLG)",4189276,"GLG Partners, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [Man Group Plc (LSE:EMG) (LSE : EMG)]

Prior Sponsor-Backed [Berggruen Holdings, Inc.;Istithmar World Capital P.J.S.C.]",glg partners,7401,GLG Partners Inc,Financial Services,glg partners
"Global 360, Inc.",4121501,"Global 360, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [TCMI Inc.;JMI Management, L.P.;Bregal Sagemount;TA Associates Management, L.P.]",global 360,2236633,Global 360 Inc,Support Services (Industrial Goods and Services) | Software and Computer Services,global 360
"Global Agricultural Partners, Inc.",4151122,"Global Agricultural Partners, Inc.",Operating,Private Company,Never Sponsor-Backed,global agricultural partners,517297,Global Agricultural Partners Inc,Unspecified,global agricultural partners
Global Arena Capital Corp,4143099,Global Arena Capital Corp,Operating,Private Company,Never Sponsor-Backed,global arena capital,1018645,Global Arena Capital Corp,Financial Services,global arena capital
"Global Asset Capital, LLC",4223132,"Global Asset Capital, LLC",Operating,Private Company,Never Sponsor-Backed,global asset capital,2611917,Global Asset Capital Inc,Financial Services,global asset capital
Global Axcess Corp. (OTCPK:GAXC.Q),4093637,Global Axcess Corp.,Out of Business,Private Company,"Prior Sponsor-Backed [RENN Capital Group, Inc.;Kuekenhof Capital Management;Heidtke & Company, Inc.;Premier Fund Managers Ltd.;Barron Partners LP;Centrecourt Asset Management LLC;Premier Asset Management (Guernsey) Ltd.]",global axcess,48946,Global Axcess Corp,Support Services (Industrial Goods and Services),global axcess
"Global Brass and Copper Holdings, Inc. (NYSE:BRSS)",4294787,"Global Brass and Copper Holdings, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Gladstone Management Corporation;KPS Capital Partners, LP]",global brass and copper holdings,110827,Global Brass and Copper Holdings Inc,Mining,global brass and copper holdings
Global Capital Partners Inc. (OTCPK:GCPL),4003310,Global Capital Partners Inc.,Operating,Private Company,Never Sponsor-Backed,global capital partners,57618,Global Capital Partners Inc,Financial Services,global capital partners
"Global Earth Energy, Inc. (OTCPK:GLER)",4280080,"Global Earth Energy, Inc.",Operating,Private Company,Never Sponsor-Backed,global earth energy,54629,Global Earth Energy Inc,Financial Services,global earth energy
"Global Energy Decisions, LLC",4060486,"Global Energy Decisions, LLC",Acquired,Private Company,Prior Sponsor-Backed [Quadrangle Group LLC],global energy decisions,1025713,Global Energy Decisions LLC,Support Services (Industrial Goods and Services),global energy decisions
"Global Energy Resources, Inc. (OTCPK:GERI)",4149336,"Global Energy Resources, Inc.",Operating,Private Company,Never Sponsor-Backed,global energy resources,51030,Global Energy Resources Inc,Financial Services,global energy resources
Global Entertainment Holdings/Equities Inc. (OTCPK:GAMT),4150717,Global Entertainment Holdings/Equities Inc.,Operating,Private Company,Never Sponsor-Backed,global entertainment holdingsequities,99223,Global Entertainment Holdings/Equities Inc,Financial Services,global entertainment holdingsequities
"Global ePoint, Inc. (OTCPK:GEPT)",4151592,"Global ePoint, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [DKR Capital Inc.;Highbridge Capital Management, LLC;Omicron Capital, L.P.;Downsview Capital, Inc.;Tail Wind Advisory & Management Ltd.;Iroquois Capital Management, LLC;Rockmore Capital, LLC;Enable Global Capital, LLC;M.A.G. Capital, LLC;Rock Hill Investment Management, LP]

Prior Sponsor-Backed [Nite Capital Management, LLC;Bluegrass Growth Fund Partners, LLC]",global epoint,58882,Global e-Point Inc,Technology Hardware and Equipment,global epoint
"Global Experience Specialists, Inc.",4375108,"Global Experience Specialists, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Truelink Capital Management, LLC]

Prior Sponsor-Backed [IDG Ventures Vietnam]",global experience specialists,1117308,Global Experience Specialists INC,Personal and Household Goods,global experience specialists
"Global Geophysical Services, Inc.",4292610,"Global Geophysical Services, Inc.",Out of Business,Private Company,Never Sponsor-Backed,global geophysical services,64599,Global Geophysical Services Inc,Oil and Gas,global geophysical services
"Global Indemnity Group, LLC (NYSE:GBLI)",4089516,"Global Indemnity Group, LLC",Operating,Public Company,"Pending or Current Sponsor-Backed [Fox Paine & Company, L.L.C.;Springhouse Capital Management, LP]

Prior Sponsor-Backed [Wind River Holdings, L.P.]",global indemnity group,1744259,Global Indemnity Group LLC,Insurance,global indemnity group
Global Medical REIT Inc. (NYSE:GMRE),4677448,Global Medical REIT Inc.,Operating,Public Company,Never Sponsor-Backed,global medical reit,303497,Global Medical REIT Inc,Financial Services,global medical reit
"Global Net Lease, Inc. (NYSE:GNL)",4307540,"Global Net Lease, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [AR Global Investments, LLC;MWM I, LLC;Orange Capital, LLC;Bellevue Capital Partners, LLC]",global net lease,185136,Global Net Lease Inc,Financial Services,global net lease
Global Oilfield Services Inc.,4291841,Global Oilfield Services Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Newgate Private Equity Limited;Pine Brook Road Partners, LLC]",global oilfield services,2041657,Global Oilfield Services LLC,Industrial Engineering | Oil and Gas,global oilfield services
Global Payments Inc. (NYSE:GPN),4090258,Global Payments Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Fidelity Management & Research Company LLC;Silver Lake Technology Management, L.L.C.;Wellington Management Company LLP]

Prior Sponsor-Backed [Transilvania Investments Alliance S.A. (BVB:TRANSI) (BVB : TRANSI)]",global payments,10933,Global Payments Inc,Software and Computer Services | Financial Services,global payments
"Global Predictions, Inc.",29473981,"Global Predictions, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [New Enterprise Associates, Inc.;AME Cloud Ventures;Morado Venture Partners;Visary Capital LLC]",global predictions,2682428,Global Predictions Inc,Software and Computer Services | Financial Services,global predictions
"Global Self Storage, Inc. (NASDAQCM:SELF)",4659472,"Global Self Storage, Inc.",Operating,Public Company,Never Sponsor-Backed,global self storage,331850,Global Self Storage Inc,Financial Services,global self storage
Global Signal Inc. (NYSE:GSL),4092928,Global Signal Inc.,Out of Business,Public Company,"Prior Sponsor-Backed [Fortress Investment Group LLC (NYSE:FIG) (NYSE : FIG);ABS Capital Partners, Inc.;Lovett Miller & Co.;GCP Capital Partners LLC]",global signal,1059973,Global Signal Inc.,Support Services (Industrial Goods and Services),global signal
"Global Value Commerce, Inc.",4344411,"Global Value Commerce, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Bull City Venture Partners;Salem Investment Partners;Southern Capitol Ventures]

Prior Sponsor-Backed [Plexus Capital, LLC]",global value commerce,1176283,Global Value Commerce,Personal and Household Goods,global value commerce
"GlobalOptions Group, Inc. (OTCBB:GLOI.E)",4155231,"GlobalOptions Group, Inc.",Acquired,Public Company,"Prior Sponsor-Backed [Iroquois Capital Management, LLC;Millennium TVP Management Company, LLC;Genesis Capital Advisors LLC;Punch & Associates Investment Management, Inc.;CountryRoad Capital LLC;Globacor Capital Inc.]",globaloptions group,48972,GlobalOptions Group Inc,Support Services (Industrial Goods and Services),globaloptions group
"Globalstar, Inc. (NASDAQGS:GSAT)",4141667,"Globalstar, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Thermo Capital Partners LLC;Mudrick Capital Management, L.P.;Steelhead Partners, LLC;Heights Capital Management, Inc.;Thermo Telecom Partners LLC;Whitebox Advisors LLC;Stark Investments LP;Legion Partners Asset Management, LLC;Anson Funds Management LP;Anson Group]

Prior Sponsor-Backed [Columbia Ventures Corporation]",globalstar,36156,Globalstar Inc,Telecommunications,globalstar
"Gloves Buyer, Inc.",4341326,"Gloves Buyer, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Blue Owl Credit Advisors LLC;Odyssey Investment Partners, LLC]

Prior Sponsor-Backed [Audax Management Company, LLC]",gloves buyer,2590031,Gloves Buyer Inc,Health Care Equipment and Services,gloves buyer
"GMT Group, Inc.",4389603,"GMT Group, Inc.",Operating,Private Company,Never Sponsor-Backed,gmt group,157413,GMT Group Inc,Support Services (Industrial Goods and Services),gmt group
GN Bank,1001216,GN Bank,Operating,Private Company,Never Sponsor-Backed,gn bank,2390213,GN Bank,Banks,gn bank
"Go Mortgage, LLC",4105837,"Go Mortgage, LLC",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Tradepost LLC],go mortgage,2439712,Go Mortgage LLC,Financial Services,go mortgage
"Go Poll Go, Inc.",4388562,"Go Poll Go, Inc.",Acquired,Private Company,Prior Sponsor-Backed [Idealab;Tuesday Capital],go poll go,1471534,GO Poll GO INC,Software and Computer Services,go poll go
"Go2 Media, Inc.",4187909,"Go2 Media, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [General Catalyst Group Management, LLC]",go2 media,2282057,Go2 Media,Media,go2 media
"Goal Based Investors, Inc.",28756630,"Goal Based Investors, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [The Venture Collective LLC;True Venture Management, LLC]",goal based investors,2432106,Goal Based Investors Inc,Software and Computer Services,goal based investors
GoBeam Inc.,4149845,GoBeam Inc.,Acquired,Private Company,Prior Sponsor-Backed [LMS Capital plc (LSE:LMS) (LSE : LMS);Gresham House Asset Management Limited;Sprout Group;Presidio Partners;Enterprise Partners Venture Capital],gobeam,1052758,Gobeam INC,Telecommunications,gobeam
"Goelzer Investment Management, Inc.",4027484,"Goelzer Investment Management, Inc.",Operating,Private Company,Never Sponsor-Backed,goelzer investment management,112845,Goelzer Investment Management Inc,Financial Services,goelzer investment management
"GoFundMe, Inc.",5299448,"GoFundMe, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [NVP Associates, LLC;Venture51 Capital Fund LLP;ICONIQ Growth;TCMI Inc.;Meritech Sub-Management Corporation;Stripes, LLC;Accel Partners;Greylock Partners]",gofundme,204970,GoFundMe Inc,Software and Computer Services,gofundme
Gogo Inc. (NASDAQGS:GOGO),4309485,Gogo Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Brightwood Capital Advisors, LLC;Sycamore Management Corporation;GTCR LLC;Mudrick Capital Management, L.P.;Senator Investment Group LP]

Prior Sponsor-Backed [Blumenstein/Thorne Information Partners L.L.P.;Northwood Ventures, L.L.C.;Ripplewood Advisors L.L.C.;Frist Capital, LLC;Pritzker Group Venture Capital]",gogo,1053788,Gogo LLC,Personal and Household Goods,gogo
Gogo Inc. (NASDAQGS:GOGO),4309485,Gogo Inc.,Operating,Public Company,"Pending or Current Sponsor-Backed [Brightwood Capital Advisors, LLC;Sycamore Management Corporation;GTCR LLC;Mudrick Capital Management, L.P.;Senator Investment Group LP]

Prior Sponsor-Backed [Blumenstein/Thorne Information Partners L.L.P.;Northwood Ventures, L.L.C.;Ripplewood Advisors L.L.C.;Frist Capital, LLC;Pritzker Group Venture Capital]",gogo,95485,Gogo Inc,Telecommunications,gogo
"GoHealth, Inc. (NASDAQCM:GOCO)",4328018,"GoHealth, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Centerbridge Partners, L.P.;Blue Owl Credit Advisors LLC]

Prior Sponsor-Backed [Norwest Equity Partners;Norwest Equity Capital LLC;Seyen Capital;Guild Capital Management LLC]",gohealth,2051652,GoHealth Inc,Insurance,gohealth
"GoHealth, Inc. (NASDAQCM:GOCO)",4328018,"GoHealth, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [Centerbridge Partners, L.P.;Blue Owl Credit Advisors LLC]

Prior Sponsor-Backed [Norwest Equity Partners;Norwest Equity Capital LLC;Seyen Capital;Guild Capital Management LLC]",gohealth,2247443,Gohealth,Insurance,gohealth
