SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,SP_COMPANY_NAME_CLEAN,reprisk_id,company_name,sectors,company_name_clean
"Digital Envoy, Inc.",4165961,"Digital Envoy, Inc.",Operating Subsidiary,Private Company,"Pending or Current Sponsor-Backed [BuildGroup LLC;Nordic Garage Ventures AB]

Prior Sponsor-Backed [Siemens Venture Capital GmbH;WarnerMedia Investments;Cordova Ventures;Crossbow Ventures Inc.;Frontier Growth;H&Q Asia Pacific, Ltd.;Garage Technology Ventures, LLC;CTW Venture Partners, LLC]",digital envoy,1478789,Digital Envoy Inc,Software and Computer Services,digital envoy
"Digital Realty Trust, Inc. (NYSE:DLR)",4094311,"Digital Realty Trust, Inc.",Operating,Public Company,"Pending or Current Sponsor-Backed [NorthStar Asset Management, Inc.;Allianz Asset Management of America L.P. (NYSE:PA) (NYSE : PA)]

Prior Sponsor-Backed [GI Manager L.P.]",digital realty trust,9081,Digital Realty Trust Inc,Software and Computer Services | Financial Services,digital realty trust
"Digital River, Inc. (NASDAQGM:DRIV)",4122974,"Digital River, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Siris Capital Group, LLC;Farol Asset Management, LP]

Prior Sponsor-Backed [Capital Southwest Corporation (NASDAQGS:CSWC) (NASDAQGS : CSWC);BlackRock Fund Advisors;Institutional Venture Partners;Portage Venture Partners;EastWest VentureGroup;Vista Equity Partners Management, LLC;Wasserstein & Co., L.P.;SSGA Funds Management, Inc.;Global Emerging Markets;Capnamic Ventures Management GmbH]",digital river,8921,Digital River Inc,Software and Computer Services | Financial Services,digital river
"DigitalPost Interactive, Inc. (OTCPK:DGLP.Q)",4270305,"DigitalPost Interactive, Inc.",Operating,Private Company,"Prior Sponsor-Backed [Agile Opportunity Fund, LLC]",digitalpost interactive,51103,DigitalPost Interactive Inc,Software and Computer Services,digitalpost interactive
"Digitas, Inc. (NASDAQGM:DTAS)",4094664,"Digitas, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Riese & Others;Hellman & Friedman LLC],digitas,598118,Digitas Inc,Support Services (Industrial Goods and Services) | Media,digitas
"Digium, Inc.",4166447,"Digium, Inc.",Operating Subsidiary,Private Company,Prior Sponsor-Backed [Tenaya Capital Inc.;Matrix Management Corporation;Advantage Capital Management Corporation],digium,233434,Digium Inc,Telecommunications | Software and Computer Services,digium
"Dime Community Bancshares, Inc. (NASDAQGS:DCOM)",102643,"Dime Community Bancshares, Inc.",Operating,Public Company,Never Sponsor-Backed,dime community bancshares,12649,Dime Community Bancshares Inc,Financial Services,dime community bancshares
"Dimeco, Inc. (OTCQX:DIMC)",100888,"Dimeco, Inc.",Operating,Public Company,Never Sponsor-Backed,dimeco,42370,Dimeco Inc,Banks,dimeco
Dimensional Holdings Inc.,4220581,Dimensional Holdings Inc.,Operating,Private Company,Never Sponsor-Backed,dimensional holdings,514798,Dimensional Holdings Inc,Financial Services,dimensional holdings
"Dimont & Associates, Inc.",4391717,"Dimont & Associates, Inc.",Operating,Private Company,Never Sponsor-Backed,dimont associates,575738,Dimont & Associates Inc,Insurance,dimont associates
"Direct Digital Holdings, Inc. (NASDAQCM:DRCT)",100034886,"Direct Digital Holdings, Inc.",Operating,Public Company,Never Sponsor-Backed,direct digital holdings,2595784,Direct Digital Holdings Inc,Media | Software and Computer Services | Financial Services,direct digital holdings
